booking_id,customer_name,service,ceremony_type,price,booking_date,rating,city
1,Customer_1,Pre-Wedding Shoot,Christian Wedding,9000,2024-01-26,4.8,Secunderabad
2,Customer_2,Party & Event,Fusion/Other,5000,2024-04-14,4.7,Hyderabad
3,Customer_3,Engagement Glam,Telugu Hindu Wedding,8000,2024-02-02,4.9,Hyderabad
4,Customer_4,Party & Event,Fusion/Other,5000,2025-06-01,5.0,Hyderabad
5,Customer_5,Engagement Glam,North Indian Wedding,7000,2025-07-12,4.6,Secunderabad
6,Customer_6,Mehndi/Sangeet Look,Telugu Hindu Wedding,5500,2024-10-11,,Secunderabad
7,Customer_7,Pre-Wedding Shoot,Christian Wedding,10000,2024-12-14,,Secunderabad
8,Customer_8,Party & Event,Telugu Hindu Wedding,5500,2024-04-14,,Vijayawada
9,Customer_9,Bridal Makeup,Fusion/Other,15500,2024-12-18,,Warangal
10,Customer_10,Bridal Makeup,Telugu Hindu Wedding,16000,2025-07-03,4.9,Vijayawada
11,Customer_11,Bridal Makeup,Fusion/Other,-100,2024-10-27,4.6,Warangal
12,Customer_12,Engagement Glam,Telugu Hindu Wedding,7000,2024-03-12,4.6,Secunderabad
13,Customer_13,HD & Airbrush,Telugu Hindu Wedding,8000,2024-08-26,4.8,Vijayawada
14,Customer_14,HD & Airbrush,Muslim Wedding,9000,2025-01-08,4.1,Warangal
15,Customer_15,HD & Airbrush,Telugu Hindu Wedding,8000,2024-09-30,4.2,Secunderabad
16,Customer_16,Engagement Glam,North Indian Wedding,7000,2024-06-16,4.5,Vijayawada
17,Customer_17,HD & Airbrush,Christian Wedding,7500,2024-08-12,4.4,Hyderabad
18,Customer_18,Party & Event,North Indian Wedding,5000,2024-11-19,4.8,Warangal
19,Customer_19,Bridal Makeup,Christian Wedding,15000,2025-08-03,4.4,Secunderabad
20,Customer_20,Pre-Wedding Shoot,North Indian Wedding,10000,2025-02-09,4.3,Secunderabad
21,Customer_21,HD & Airbrush,Fusion/Other,8000,2024-09-09,5.0,Warangal
22,Customer_22,Pre-Wedding Shoot,Fusion/Other,8500,2025-03-14,4.6,Vijayawada
23,Customer_23,HD & Airbrush,Fusion/Other,8000,2024-05-21,4.7,Vijayawada
24,Customer_24,Bridal Makeup,Muslim Wedding,15000,2024-04-22,4.3,Secunderabad
25,Customer_25,Pre-Wedding Shoot,North Indian Wedding,10000,2024-03-06,4.5,Vijayawada
26,Customer_26,Engagement Glam,Christian Wedding,8000,2025-06-25,4.7,Hyderabad
27,Customer_27,Pre-Wedding Shoot,Christian Wedding,9000,2025-07-03,4.4,Warangal
28,Customer_28,Bridal Makeup,Muslim Wedding,15500,2025-03-21,4.8,Vijayawada
29,Customer_29,Bridal Makeup,Muslim Wedding,15500,2025-05-27,4.5,Hyderabad
30,Customer_30,Pre-Wedding Shoot,Fusion/Other,9500,2025-06-03,4.6,Secunderabad
31,Customer_31,Party & Event,Fusion/Other,5500,2024-06-14,4.5,Hyderabad
32,Customer_32,Engagement Glam,Telugu Hindu Wedding,7500,2025-05-15,5.0,Hyderabad
33,Customer_33,HD & Airbrush,Telugu Hindu Wedding,8500,2024-09-02,4.7,Secunderabad
34,Customer_34,Engagement Glam,North Indian Wedding,7000,2024-03-28,4.4,Hyderabad
35,Customer_35,Engagement Glam,North Indian Wedding,7000,2024-05-11,4.9,Secunderabad
36,Customer_36,HD & Airbrush,Muslim Wedding,7500,2025-03-09,4.3,Secunderabad
37,Customer_37,Pre-Wedding Shoot,Christian Wedding,9500,2025-02-12,4.8,Vijayawada
38,Customer_38,Engagement Glam,Muslim Wedding,8000,2024-05-03,4.1,Secunderabad
39,Customer_39,Bridal Makeup,Fusion/Other,15500,2024-01-22,4.3,Secunderabad
40,Customer_40,Engagement Glam,Telugu Hindu Wedding,7000,2024-01-08,4.8,Hyderabad
41,Customer_41,Party & Event,Christian Wedding,5000,2024-02-02,4.9,Hyderabad
42,Customer_42,Engagement Glam,North Indian Wedding,7000,2024-10-12,4.8,Secunderabad
43,Customer_43,Engagement Glam,Fusion/Other,7000,2025-08-07,4.7,Vijayawada
44,Customer_44,Party & Event,Muslim Wedding,6000,2025-02-20,4.6,Hyderabad
45,Customer_45,Bridal Makeup,North Indian Wedding,16000,2024-12-28,4.3,Vijayawada
46,Customer_46,Mehndi/Sangeet Look,Telugu Hindu Wedding,6000,2024-04-10,4.5,Vijayawada
47,Customer_47,Pre-Wedding Shoot,Muslim Wedding,9500,2024-04-21,4.6,Secunderabad
