booking_id,customer_name,service,ceremony_type,price,booking_date,rating,city,month
1,Customer_1,Pre-Wedding Shoot,Christian Wedding,9000,2024-01-26,4.8,Secunderabad,2024-01
2,Customer_2,Party & Event,Fusion/Other,5000,2024-04-14,4.7,Hyderabad,2024-04
3,Customer_3,Engagement Glam,Telugu Hindu Wedding,8000,2024-02-02,4.9,Hyderabad,2024-02
4,Customer_4,Party & Event,Fusion/Other,5000,2025-06-01,5.0,Hyderabad,2025-06
5,Customer_5,Engagement Glam,North Indian Wedding,7000,2025-07-12,4.6,Secunderabad,2025-07
6,Customer_6,Mehndi/Sangeet Look,Telugu Hindu Wedding,5500,2024-10-11,4.652459016393442,Secunderabad,2024-10
7,Customer_7,Pre-Wedding Shoot,Christian Wedding,10000,2024-12-14,4.667164179104477,Secunderabad,2024-12
8,Customer_8,Party & Event,Telugu Hindu Wedding,5500,2024-04-14,4.704918032786886,Vijayawada,2024-04
9,Customer_9,Bridal Makeup,Fusion/Other,15500,2024-12-18,4.683561643835617,Warangal,2024-12
10,Customer_10,Bridal Makeup,Telugu Hindu Wedding,16000,2025-07-03,4.9,Vijayawada,2025-07
12,Customer_12,Engagement Glam,Telugu Hindu Wedding,7000,2024-03-12,4.6,Secunderabad,2024-03
13,Customer_13,HD & Airbrush,Telugu Hindu Wedding,8000,2024-08-26,4.8,Vijayawada,2024-08
14,Customer_14,HD & Airbrush,Muslim Wedding,9000,2025-01-08,4.1,Warangal,2025-01
15,Customer_15,HD & Airbrush,Telugu Hindu Wedding,8000,2024-09-30,4.2,Secunderabad,2024-09
16,Customer_16,Engagement Glam,North Indian Wedding,7000,2024-06-16,4.5,Vijayawada,2024-06
17,Customer_17,HD & Airbrush,Christian Wedding,7500,2024-08-12,4.4,Hyderabad,2024-08
18,Customer_18,Party & Event,North Indian Wedding,5000,2024-11-19,4.8,Warangal,2024-11
19,Customer_19,Bridal Makeup,Christian Wedding,15000,2025-08-03,4.4,Secunderabad,2025-08
20,Customer_20,Pre-Wedding Shoot,North Indian Wedding,10000,2025-02-09,4.3,Secunderabad,2025-02
21,Customer_21,HD & Airbrush,Fusion/Other,8000,2024-09-09,5.0,Warangal,2024-09
22,Customer_22,Pre-Wedding Shoot,Fusion/Other,8500,2025-03-14,4.6,Vijayawada,2025-03
23,Customer_23,HD & Airbrush,Fusion/Other,8000,2024-05-21,4.7,Vijayawada,2024-05
24,Customer_24,Bridal Makeup,Muslim Wedding,15000,2024-04-22,4.3,Secunderabad,2024-04
25,Customer_25,Pre-Wedding Shoot,North Indian Wedding,10000,2024-03-06,4.5,Vijayawada,2024-03
26,Customer_26,Engagement Glam,Christian Wedding,8000,2025-06-25,4.7,Hyderabad,2025-06
27,Customer_27,Pre-Wedding Shoot,Christian Wedding,9000,2025-07-03,4.4,Warangal,2025-07
28,Customer_28,Bridal Makeup,Muslim Wedding,15500,2025-03-21,4.8,Vijayawada,2025-03
29,Customer_29,Bridal Makeup,Muslim Wedding,15500,2025-05-27,4.5,Hyderabad,2025-05
30,Customer_30,Pre-Wedding Shoot,Fusion/Other,9500,2025-06-03,4.6,Secunderabad,2025-06
31,Customer_31,Party & Event,Fusion/Other,5500,2024-06-14,4.5,Hyderabad,2024-06
32,Customer_32,Engagement Glam,Telugu Hindu Wedding,7500,2025-05-15,5.0,Hyderabad,2025-05
33,Customer_33,HD & Airbrush,Telugu Hindu Wedding,8500,2024-09-02,4.7,Secunderabad,2024-09
34,Customer_34,Engagement Glam,North Indian Wedding,7000,2024-03-28,4.4,Hyderabad,2024-03
35,Customer_35,Engagement Glam,North Indian Wedding,7000,2024-05-11,4.9,Secunderabad,2024-05
36,Customer_36,HD & Airbrush,Muslim Wedding,7500,2025-03-09,4.3,Secunderabad,2025-03
37,Customer_37,Pre-Wedding Shoot,Christian Wedding,9500,2025-02-12,4.8,Vijayawada,2025-02
38,Customer_38,Engagement Glam,Muslim Wedding,8000,2024-05-03,4.1,Secunderabad,2024-05
39,Customer_39,Bridal Makeup,Fusion/Other,15500,2024-01-22,4.3,Secunderabad,2024-01
40,Customer_40,Engagement Glam,Telugu Hindu Wedding,7000,2024-01-08,4.8,Hyderabad,2024-01
41,Customer_41,Party & Event,Christian Wedding,5000,2024-02-02,4.9,Hyderabad,2024-02
42,Customer_42,Engagement Glam,North Indian Wedding,7000,2024-10-12,4.8,Secunderabad,2024-10
43,Customer_43,Engagement Glam,Fusion/Other,7000,2025-08-07,4.7,Vijayawada,2025-08
44,Customer_44,Party & Event,Muslim Wedding,6000,2025-02-20,4.6,Hyderabad,2025-02
45,Customer_45,Bridal Makeup,North Indian Wedding,16000,2024-12-28,4.3,Vijayawada,2024-12
46,Customer_46,Mehndi/Sangeet Look,Telugu Hindu Wedding,6000,2024-04-10,4.5,Vijayawada,2024-04
47,Customer_47,Pre-Wedding Shoot,Muslim Wedding,9500,2024-04-21,4.6,Secunderabad,2024-04
48,Customer_48,Party & Event,Muslim Wedding,4500,2025-04-04,5.0,Vijayawada,2025-04
49,Customer_49,Party & Event,Muslim Wedding,5500,2025-04-18,4.8,Hyderabad,2025-04
50,Customer_50,Mehndi/Sangeet Look,Telugu Hindu Wedding,5500,2024-04-10,4.2,Hyderabad,2024-04
51,Customer_51,Bridal Makeup,North Indian Wedding,15000,2024-06-19,4.8,Vijayawada,2024-06
52,Customer_52,Mehndi/Sangeet Look,Telugu Hindu Wedding,6000,2025-02-14,4.6,Secunderabad,2025-02
53,Customer_53,Mehndi/Sangeet Look,Christian Wedding,6000,2025-02-03,4.5,Vijayawada,2025-02
54,Customer_54,HD & Airbrush,North Indian Wedding,9000,2025-07-23,4.9,Secunderabad,2025-07
55,Customer_55,Party & Event,Telugu Hindu Wedding,5500,2024-08-10,5.0,Hyderabad,2024-08
56,Customer_56,Pre-Wedding Shoot,Telugu Hindu Wedding,9500,2024-02-28,5.0,Vijayawada,2024-02
57,Customer_57,Engagement Glam,Telugu Hindu Wedding,6500,2024-06-10,4.4,Hyderabad,2024-06
58,Customer_58,Party & Event,Muslim Wedding,5000,2024-03-10,4.6,Vijayawada,2024-03
59,Customer_59,Bridal Makeup,Fusion/Other,14500,2024-09-09,4.8,Hyderabad,2024-09
60,Customer_60,Engagement Glam,Fusion/Other,7000,2025-03-05,5.0,Warangal,2025-03
61,Customer_61,HD & Airbrush,Muslim Wedding,8000,2024-11-17,4.6,Warangal,2024-11
62,Customer_62,Mehndi/Sangeet Look,North Indian Wedding,6000,2024-11-03,4.6,Warangal,2024-11
63,Customer_63,Bridal Makeup,Fusion/Other,15000,2025-04-14,4.4,Hyderabad,2025-04
64,Customer_64,Bridal Makeup,Fusion/Other,14500,2024-08-06,4.3,Warangal,2024-08
65,Customer_65,Party & Event,Muslim Wedding,5500,2024-03-11,4.9,Warangal,2024-03
66,Customer_66,HD & Airbrush,Fusion/Other,8000,2025-03-24,5.0,Warangal,2025-03
67,Customer_67,Engagement Glam,Fusion/Other,6500,2024-01-09,4.7,Warangal,2024-01
68,Customer_68,Pre-Wedding Shoot,Christian Wedding,9000,2024-05-17,5.0,Hyderabad,2024-05
69,Customer_69,Bridal Makeup,Christian Wedding,14500,2024-06-08,4.8,Warangal,2024-06
70,Customer_70,Engagement Glam,Muslim Wedding,7000,2024-12-17,4.5,Warangal,2024-12
